Reference,WKT Polygon
AS-017850,"POLYGON ((145.041422234485 -37.9617431722543, 145.041402128303 -37.9618230412173, 145.041321418679 -37.9622346114917, 145.041282573208 -37.96225721459, 145.041476950207 -37.962262794973, 145.04156661368 -37.9618055043173, 145.041584654722 -37.9617648016799, 145.041422234485 -37.9617431722543))"
AS-017849,"POLYGON ((145.041422234485 -37.9617431722543, 145.041446533089 -37.9616468817601, 145.041518687762 -37.9612787853438, 145.041553580514 -37.9611007551979, 145.041630088455 -37.9606844286302, 145.041605859335 -37.960658161663, 145.041830719862 -37.9606857869365, 145.041791761606 -37.9607083883409, 145.041584654722 -37.9617648016799, 145.041422234485 -37.9617431722543))"
AS-017851,"POLYGON ((145.008184912638 -37.9493862624499, 145.00822083236 -37.9492066379992, 145.010220646253 -37.9494616340802, 145.01028901062 -37.9494670261409, 145.010261092424 -37.9496455250111, 145.010182425064 -37.9496381562921, 145.009281666477 -37.9495243258792, 145.009144314233 -37.9495071317279, 145.00827279033 -37.9493981140642, 145.008184912638 -37.9493862624499))"
AS-017852,"POLYGON ((145.002888586307 -37.9487147457506, 145.002918311002 -37.9485332155199, 145.003530830751 -37.948611742645, 145.003598750009 -37.9486209159156, 145.004054069446 -37.9486799200638, 145.004092170055 -37.9486849823508, 145.004502358305 -37.9487422275892, 145.004677567965 -37.9487565548758, 145.004643822328 -37.9489396394684, 145.004416004204 -37.9489096404189, 145.00303859483 -37.9487351359197, 145.002888586307 -37.9487147457506))"
AS-017854,"POLYGON ((145.004942835657 -37.9487904328706, 145.00511368328 -37.9488103628451, 145.00822083236 -37.9492066379992, 145.008184912638 -37.9493862624499, 145.008102364268 -37.949375131844, 145.006457860028 -37.9491662247229, 145.006197943746 -37.949132170499, 145.005379453754 -37.9490276351597, 145.005208218759 -37.9490051757381, 145.0048232746 -37.9489570123609, 145.004861980177 -37.9487798694144, 145.004942835657 -37.9487904328706))"
AS-017853,"POLYGON ((145.000633215361 -37.9482374701229, 145.002217091754 -37.9484438965946, 145.002390054991 -37.9484654885441, 145.002918311002 -37.9485332155199, 145.002888586307 -37.9487147457506, 145.002697875759 -37.9486887077901, 145.000680634665 -37.9484277006808, 145.000634061406 -37.9484623246603, 145.000630926631 -37.9483344864652, 145.000633215361 -37.9482374701229))"
AS-017855,"POLYGON ((145.012470311368 -37.9499052871535, 145.012506881683 -37.9497264833369, 145.012585730822 -37.949735565787, 145.013344974726 -37.9498221985757, 145.015076875176 -37.9500241939541, 145.015032694259 -37.9502026899491, 145.01491517562 -37.9501884506347, 145.013725394971 -37.9500513917947, 145.01351663034 -37.9500320053791, 145.012549025091 -37.9499151783895, 145.012470311368 -37.9499052871535))"
AS-017856,"POLYGON ((145.010261092424 -37.9496455250111, 145.01028901062 -37.9494670261409, 145.010391439796 -37.9494752473465, 145.011314498126 -37.9495851207441, 145.011484993886 -37.9496055762387, 145.012412944774 -37.9497156138771, 145.012506881683 -37.9497264833369, 145.012470311368 -37.9499052871535, 145.012376400944 -37.9498934268291, 145.011450362257 -37.9497841421438, 145.011278515645 -37.9497631230545, 145.010351224464 -37.9496539887929, 145.010261092424 -37.9496455250111))"
AS-017857,"POLYGON ((145.015032694259 -37.9502026899491, 145.015076875176 -37.9500241939541, 145.016456301649 -37.950184984284, 145.01656583853 -37.9501998083845, 145.016529694084 -37.9503758271284, 145.016418641812 -37.9503623291809, 145.015135918821 -37.9502152460486, 145.015032694259 -37.9502026899491))"
AS-017858,"POLYGON ((145.016529694084 -37.9503758271284, 145.01656583853 -37.9501998083845, 145.016695674335 -37.9502173177208, 145.019547204072 -37.9505551841173, 145.01951444762 -37.9507281969354, 145.019404940745 -37.950716440037, 145.018119568534 -37.9505658301999, 145.017911841719 -37.9505416027651, 145.01662486207 -37.9503875251205, 145.016529694084 -37.9503758271284))"
AS-017859,"POLYGON ((145.035879983228 -37.9420957704139, 145.035923828717 -37.9419320393215, 145.037128166529 -37.9420875894405, 145.037246753512 -37.9420699229155, 145.03726237455 -37.9420687417169, 145.037287497211 -37.9420697016406, 145.03731196009 -37.9420740749903, 145.03733507834 -37.9420819404558, 145.037355835471 -37.9420930107257, 145.0373737885 -37.9421068278252, 145.0373883783 -37.9421230219585, 145.037399050538 -37.942141043176, 145.037402717577 -37.9421529096741, 145.037404924952 -37.9421725919839, 145.037402691579 -37.9421923804292, 145.037395809142 -37.942211550599, 145.037384865521 -37.9422293913669, 145.037369875095 -37.9422453622703, 145.037351420954 -37.9422589323363, 145.037330204727 -37.9422693923361, 145.037306913664 -37.9422765735023, 145.037282235017 -37.9422803070684, 145.037257081127 -37.942280518141, 145.037232139246 -37.9422770379546, 145.037214524828 -37.9422718777034, 145.037103836541 -37.9422236203477, 145.035916813815 -37.9420758387962, 145.035879983228 -37.9420957704139))"
AS-017860,"POLYGON ((145.028855937577 -37.9548297152234, 145.029060187969 -37.9548526035695, 145.02894019462 -37.9554499579512, 145.028734819454 -37.9554265098285, 145.028855937577 -37.9548297152234))"
AS-017861,"POLYGON ((145.029490843642 -37.9547167148911, 145.029530823686 -37.9546942247885, 145.029944778228 -37.9524826689083, 145.030116455877 -37.952501945766, 145.029703573503 -37.9547118981631, 145.029735027221 -37.9547444165041, 145.029617362466 -37.9547310003979, 145.029490843642 -37.9547167148911))"
AS-017862,"POLYGON ((145.01951444762 -37.9507281969354, 145.019547204072 -37.9505551841173, 145.021162836737 -37.9507442281215, 145.021195200424 -37.9507256679423, 145.021170551204 -37.9508384395849, 145.021146163251 -37.9509499539841, 145.021114978884 -37.9509203216451, 145.019609519818 -37.9507392600906, 145.01951444762 -37.9507281969354))"
AS-017863,"POLYGON ((144.999015281207 -37.9157031329286, 144.998927902959 -37.915619820733, 144.999516507692 -37.9152105179626, 144.999562809411 -37.9151809359466, 144.999650046904 -37.9152568557128, 144.999015281207 -37.9157031329286))"
AS-017864,"POLYGON ((145.029944778228 -37.9524826689083, 145.030169850682 -37.9512785153874, 145.030146412289 -37.9512484744418, 145.030385681206 -37.9512765428621, 145.030341298102 -37.9512977880341, 145.030116455877 -37.952501945766, 145.029944778228 -37.9524826689083))"
AS-017865,"POLYGON ((145.03332722276 -37.9845074621275, 145.033348015385 -37.9843726355538, 145.035400428681 -37.9846114212338, 145.035455313861 -37.9845813383071, 145.035416998951 -37.9847756195968, 145.035384898906 -37.9847454349815, 145.03332722276 -37.9845074621275))"
AS-017866,"POLYGON ((145.010737726081 -37.9126542993607, 145.010824679878 -37.9118078594911, 145.010837324382 -37.911684703207, 145.010919328639 -37.9109290173098, 145.010932961115 -37.9108494041812, 145.011076932859 -37.9108715737727, 145.01106367151 -37.9109711991542, 145.010877318434 -37.9126702672298, 145.010808826104 -37.9126624405366, 145.010737726081 -37.9126542993607))"
AS-017867,"POLYGON ((144.998597013644 -37.8883878963795, 144.998698748267 -37.8885067788558, 144.997890760828 -37.8889379422983, 144.997794642936 -37.8888258233698, 144.998595018527 -37.8883985863782, 144.998597013644 -37.8883878963795))"
AS-017868,"POLYGON ((145.010932961115 -37.9108494041812, 145.010944584914 -37.9107810217077, 145.011115097062 -37.9094122342116, 145.011249669388 -37.909618623974, 145.011224167812 -37.909632161029, 145.011086241768 -37.9108004486417, 145.011076932859 -37.9108715737727, 145.010932961115 -37.9108494041812))"
